iter	Passed	Remaining
1420	27003	11002
1421	27021	10983
1422	27039	10964
1423	27056	10944
1424	27074	10924
1425	27092	10905
1426	27110	10885
1427	27128	10866
1428	27145	10846
1429	27163	10827
1430	27180	10807
1431	27200	10788
1432	27218	10769
1433	27236	10750
1434	27254	10730
1435	27273	10711
1436	27290	10692
1437	27309	10673
1438	27328	10653
1439	27346	10634
1440	27364	10615
1441	27381	10595
1442	27398	10575
1443	27416	10556
1444	27433	10536
1445	27454	10518
1446	27472	10499
1447	27490	10479
1448	27507	10459
1449	27525	10440
1450	27542	10421
1451	27560	10401
1452	27579	10382
1453	27637	10378
1454	27654	10358
1455	27672	10339
1456	27690	10319
1457	27708	10300
1458	27727	10281
1459	27746	10262
1460	27764	10243
1461	27785	10224
1462	27806	10206
1463	27826	10187
1464	27845	10168
1465	27861	10148
1466	27881	10130
1467	27898	10110
1468	27915	10090
1469	27934	10071
1470	27951	10052
1471	27969	10032
1472	27987	10013
1473	28005	9993
1474	28022	9974
1475	28040	9954
1476	28058	9935
1477	28075	9915
1478	28093	9896
1479	28110	9876
1480	28128	9857
1481	28146	9838
1482	28164	9818
1483	28181	9799
1484	28200	9780
1485	28218	9760
1486	28237	9741
1487	28254	9721
1488	28272	9702
1489	28288	9682
1490	28306	9663
1491	28324	9644
1492	28343	9624
1493	28359	9605
1494	28377	9585
1495	28393	9565
1496	28411	9546
1497	28428	9526
1498	28445	9507
1499	28461	9487
1500	28479	9467
1501	28496	9448
1502	28514	9428
1503	28533	9409
1504	28550	9390
1505	28568	9371
1506	28584	9351
1507	28603	9332
1508	28619	9312
1509	28680	9306
1510	28706	9290
1511	28724	9270
1512	28740	9250
1513	28759	9231
1514	28777	9212
1515	28795	9193
1516	28813	9174
1517	28831	9154
1518	28848	9134
1519	28866	9115
1520	28885	9096
1521	28900	9076
1522	28919	9057
1523	28936	9038
1524	28954	9018
1525	28971	8999
1526	28989	8979
1527	29007	8960
1528	29025	8941
1529	29044	8922
1530	29064	8903
1531	29081	8883
1532	29100	8864
1533	29117	8845
1534	29134	8825
1535	29151	8806
1536	29169	8786
1537	29188	8767
1538	29206	8748
1539	29224	8729
1540	29246	8711
1541	29265	8692
1542	29283	8673
1543	29302	8654
1544	29324	8636
1545	29346	8617
1546	29363	8598
1547	29380	8578
1548	29398	8559
1549	29416	8540
1550	29434	8520
1551	29451	8501
1552	29470	8482
1553	29488	8463
1554	29505	8443
1555	29521	8423
1556	29539	8404
1557	29558	8385
1558	29576	8366
1559	29593	8346
1560	29611	8327
1561	29628	8308
1562	29646	8288
1563	29663	8269
1564	29722	8261
1565	29741	8242
1566	29759	8223
1567	29775	8203
1568	29793	8184
1569	29810	8164
1570	29827	8145
1571	29846	8126
1572	29865	8107
1573	29884	8088
1574	29902	8068
1575	29920	8049
1576	29936	8029
1577	29954	8010
1578	29972	7991
1579	29996	7973
1580	30015	7954
1581	30032	7935
1582	30050	7915
1583	30067	7896
1584	30090	7878
1585	30113	7860
1586	30131	7841
1587	30148	7821
1588	30175	7805
1589	30199	7787
1590	30217	7768
1591	30235	7748
1592	30253	7729
1593	30270	7710
1594	30288	7690
1595	30306	7671
1596	30324	7652
1597	30342	7632
1598	30360	7613
1599	30378	7594
1600	30395	7575
1601	30412	7555
1602	30430	7536
1603	30446	7516
1604	30463	7497
1605	30480	7477
1606	30500	7458
1607	30516	7439
1608	30535	7420
1609	30553	7401
1610	30571	7381
1611	30589	7362
1612	30607	7343
1613	30624	7324
1614	30641	7304
1615	30657	7285
1616	30675	7265
1617	30692	7246
1618	30709	7226
1619	30824	7230
1620	30842	7211
1621	30863	7192
1622	30881	7173
1623	30900	7154
1624	30917	7134
1625	30934	7115
1626	30953	7096
1627	30969	7076
1628	30986	7057
1629	31003	7037
1630	31021	7018
1631	31037	6998
1632	31054	6979
1633	31071	6959
1634	31088	6940
1635	31104	6920
1636	31121	6901
1637	31138	6881
1638	31157	6862
1639	31174	6843
1640	31190	6823
1641	31206	6803
1642	31226	6785
1643	31243	6765
1644	31261	6746
1645	31279	6727
1646	31296	6707
1647	31315	6688
1648	31332	6669
1649	31349	6649
1650	31367	6630
1651	31385	6611
1652	31401	6591
1653	31421	6572
1654	31439	6553
1655	31457	6534
1656	31475	6515
1657	31492	6496
1658	31510	6476
1659	31528	6457
1660	31546	6438
1661	31563	6419
1662	31583	6400
1663	31599	6380
